,customer_number,Cluster,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,seasonal_gifting,discount_bakery,practical_items,total_spend,recency,frequency,name
795,5540,1,64.57,68.27,19.51,18.81,17.57,1.4,3.51,11.33,13.95,84.14,53.01,85.79,0.0,14.8,0.0,0.84,0.0,2.96,485.66,1,188,b
796,1759,0,149.71,139.33,65.64,80.39,65.32,158.33,43.15,10.88,56.71,53.55,0.0,0.0,18.63,3.17,64.0,10.31,0.0,0.0,1033.47,1,199,a
797,13468,4,41.04,27.28,21.2,12.83,8.21,0.0,23.69,5.05,2.99,49.3,0.0,0.0,2.18,9.33,0.0,0.0,0.0,4.65,220.29,12,15,e
798,13034,1,95.87,32.46,93.57,15.72,10.55,0.0,20.47,4.72,4.92,23.98,138.77,23.61,72.84,6.4,0.0,7.06,0.0,4.24,563.6500000000001,5,24,b
799,14144,2,29.42,41.17,13.11,26.91,80.74,0.0,37.7,39.56,21.05,20.83,68.94,194.24,10.79,2.97,10.0,4.24,0.0,0.0,612.06,9,36,c
800,11640,2,34.98,57.36,15.59,34.01,70.53,2.1,30.61,2.63,14.4,50.68,461.9,387.05,28.82,3.39,31.0,3.18,0.0,1.66,1392.85,1,80,c
801,11291,2,88.68,128.19,27.74,55.19,20.26,18.09,17.61,59.52,18.18,14.5,65.32,303.58,25.04,3.96,9.0,0.84,0.0,0.67,917.67,1,87,c
802,12137,1,16.23,29.67,30.25,17.91,44.86,0.0,3.57,5.95,7.92,17.47,61.03,2.97,0.0,28.61,0.0,0.0,0.0,0.0,288.76,21,26,b
803,6270,2,107.84,120.38,126.72,98.24,101.85,88.8,37.12,31.84,63.53,17.03,537.67,5.06,0.0,0.0,46.0,0.0,0.0,0.0,1532.24,1,179,c
804,15717,2,117.53,74.0,51.21,128.57,16.65,5.96,27.32,0.12,0.0,71.03,740.67,389.47,44.22,0.0,0.0,4.58,0.0,0.0,1686.4,4,81,c
805,5802,1,36.51,22.19,101.65,9.6,2.76,10.85,7.51,15.76,16.53,6.0,39.0,24.63,0.0,11.33,0.0,5.67,0.0,0.0,737.02,11,68,b
806,1938,0,86.61,75.66,63.14,89.3,63.53,11.09,90.38,36.53,119.23,128.06,0.0,4.63,0.0,4.84,0.0,0.0,0.0,8.81,837.02,1,100,a
807,6778,0,48.74,39.46,33.91,47.03,101.47,0.6,8.0,8.21,8.01,31.45,0.0,0.0,11.92,0.0,0.0,0.0,2.67,0.0,372.67999999999995,2,14,a
808,10594,3,167.52,162.09,107.39,86.73,27.4,31.04,57.5,22.33,46.34,68.03,0.0,23.31,12.15,20.99,0.0,2.47,0.0,0.0,885.6099999999999,2,108,d
809,4757,4,82.21,162.78,46.03,21.16,20.92,1.4,40.9,18.95,0.0,6.07,4.66,21.84,14.19,0.0,0.0,2.71,0.0,0.0,452.41999999999996,4,27,e
810,8548,3,394.99,270.25,146.11,199.45,432.51,93.64,246.06,74.7,75.0,395.44,7.23,85.86,6.81,10.81,0.0,77.25,0.0,8.05,2593.27,3,41,d
811,11080,2,74.65,79.33,71.03,52.68,48.1,9.14,34.21,17.44,28.38,64.33,31.2,12.32,3.64,5.42,0.0,5.94,0.5,10.02,581.6199999999999,11,70,c
812,5169,1,52.01,93.35,44.31,26.69,22.34,34.97,18.21,3.03,20.88,28.01,883.1,8.82,0.0,0.79,8.0,3.21,0.0,0.0,1281.7399999999998,4,105,b
813,187,3,54.45,72.5,34.42,53.96,73.63,2.54,50.02,22.45,43.0,66.16,0.0,11.84,0.0,0.99,0.0,4.54,0.0,0.0,517.6300000000001,137,31,d
814,8994,0,6.95,139.44,50.45,41.9,51.2,18.64,10.63,22.24,44.68,3.78,0.0,12.76,7.76,3.66,8.0,2.97,0.0,0.0,505.19,2,90,a
815,7773,0,66.46,58.56,76.9,36.63,46.29,0.9,86.04,14.18,49.41,18.52,0.0,0.0,0.0,30.34,0.0,0.0,0.0,0.0,512.61,14,17,a
